# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-juliamonir01 | Generated: 2026-09-26 17:10

=== 1. SOP PENDING TASKS (8) ===
Student_ID,Task_Name,Expiration_Time
59623438,"SS:Service warning - absence",20260928 18:55:00
61337662,"SS:Service warning - absence",20260928 18:55:00
61704928,"SS:Service warning - absence",20260928 18:55:00
61791658,"SS:Service warning - absence",20260928 18:55:00
63859196,"Round 4 Learning Progress Feedback (2nd Unit Follow-up)",20260928 18:55:00
63996839,"SS:Service warning - absence",20260928 18:55:00
63613489,"English Club Booking",20260929 18:55:00
64135636,"English Club Booking",20260929 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (81) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority
59535416,"M3+ Pool",17,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
62880771,"M3+ Pool",17,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
64129119,"M1 Pool",17,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
58825124,"M3+ Pool",18,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
63149661,"M3+ Pool",18,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
63481694,"M3+ Pool",19,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
63854359,"M2 Pool",20,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
63495185,"M3+ Pool",21,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"

=== 4. ENGLISH CLUB ACTIONABLE LEADS (85) ===
Student_ID,Level,Completed_Classes,Booking_Status
63071903,"1",1,"Attended"
63036788,"1",0,"Booking Required"
63064431,"3",0,"Booking Required"
63121563,"2",0,"Booking Required"
63121344,"3",1,"Attended"
63095985,"0",0,"Booking Required"
58675856,"1",0,"Booked"
62534065,"0",0,"Booked"
63153643,"3",0,"Booking Required"
63155437,"3",1,"Attended"
63129239,"2",0,"Booking Required"
63149661,"0",2,"Attended"
63188153,"3",0,"Booking Required"
63315633,"2",0,"Booking Required"
62597015,"2",0,"Booking Required"
58499515,"0",0,"Booking Required"
63400086,"1",0,"Booking Required"
59096892,"0",0,"Booking Required"
63441704,"1",0,"Booking Required"
63464175,"3",1,"Attended"
63465315,"0",0,"Booking Required"
63464281,"1",0,"Booking Required"
59275037,"3",0,"Booking Required"
63448294,"3",0,"Booking Required"
63456673,"1",0,"Booking Required"
63498819,"1",0,"Booking Required"
63496258,"2",0,"Booking Required"
58615858,"0",0,"Booking Required"
63511055,"2",0,"Booking Required"
63527736,"1",0,"Booked"
63540402,"1",0,"Booked"
59519888,"2",0,"Booking Required"
63555848,"2",0,"Booking Required"
63572239,"1",0,"Booking Required"
60687904,"3",0,"Booking Required"
61595913,"1",0,"Booked"
63481694,"1",0,"Booking Required"
63495185,"3",0,"Booking Required"
63593854,"2",0,"Booking Required"
63499412,"0",0,"Booking Required"
63508429,"2",0,"Booking Required"
63014584,"3",1,"Attended"
63016615,"2",2,"Attended"
63613489,"0",1,"Attended"
60262488,"0",1,"Attended"
63567528,"2",0,"Booking Required"
63018166,"1",0,"Booking Required"
63436031,"1",0,"Booking Required"
63619222,"2",0,"Booking Required"
61785967,"3",0,"Booking Required"
63341140,"0",0,"Booked"
63578149,"1",1,"Attended"
62969730,"1",0,"Booking Required"
63670248,"0",1,"Attended"
61410131,"1",1,"Attended"
58501716,"1",1,"Attended"
63811222,"2",0,"Booking Required"
58206230,"0",0,"Booking Required"
63854359,"1",2,"Attended"
63876873,"1",0,"Booking Required"
63481217,"1",0,"Booking Required"
63910713,"0",1,"Attended"
64007331,"2",0,"Booking Required"
63994975,"2",0,"Booking Required"
63996839,"1",0,"Booking Required"
63973446,"2",0,"Booking Required"
63937989,"3",0,"Booking Required"
58824521,"2",0,"Booking Required"
64131292,"2",1,"Attended"
64126349,"1",0,"Booked"
64129119,"1",1,"Attended"
64135636,"3",0,"Booking Required"
63539937,"0",0,"Booking Required"
64157593,"0",1,"Attended"
64157496,"1",2,"Attended"
60708375,"2",0,"Booking Required"
64327731,"3",1,"Attended"
64159280,"3",0,"Booking Required"
64351095,"0",0,"Booking Required"
64365096,"3",0,"Booking Required"
64383966,"0",0,"Booking Required"
64436741,"1",0,"Booking Required"
59000117,"1",0,"Booking Required"
64437117,"2",0,"Booking Required"
64198832,"3",0,"Booking Required"
