# 51TALK BIG TEAM 01 - DAILY ACTIONABLE STUDENT LEADS
# Representative: EGSS-adhmgadallah | Generated: 2026-09-26 15:41

=== 1. SOP PENDING TASKS (7) ===
Student_ID,Task_Name,Expiration_Time
64354458,"Round 1  Awareness building (First call)",20260926 18:55:00
62712377,"Round 4 Learning Progress Feedback (2nd Unit Follow-up)",20260927 18:55:00
64087406,"Round 4 Learning Progress Feedback (2nd Unit Follow-up)",20260927 18:55:00
62349391,"SS:Service warning - absence",20260928 18:55:00
63595630,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
63604471,"Round 5 Learning Path Planning-Upgrade insidepool",20260928 18:55:00
64395467,"Round 2  Trust Enhancement (First Class Follow-up)",20260928 18:55:00

=== 2. UNFIXED TEACHER BINDING LEADS (76) ===
Student_ID,Pool_Cohort,Classes_Attended,Call_Priority
59064365,"M3+ Pool",20,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
63670066,"M2 Pool",21,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
59266335,"M3+ Pool",23,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
59758903,"M2 Pool",24,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"
62867244,"M3+ Pool",24,"🏆 Star Student — Top Tier Achieved (Retention & Referral)"

=== 4. ENGLISH CLUB ACTIONABLE LEADS (78) ===
Student_ID,Level,Completed_Classes,Booking_Status
63087380,"0",0,"Booked"
63087383,"0",0,"Booked"
63067108,"0",0,"Booking Required"
58231677,"2",0,"Booked"
63142941,"1",0,"Booking Required"
59509199,"1",0,"Booking Required"
58299158,"1",0,"Booking Required"
57908874,"1",0,"Booking Required"
63199685,"1",0,"Booking Required"
63223573,"0",0,"Booking Required"
63225582,"3",0,"Booking Required"
61984053,"0",0,"Booking Required"
60791847,"0",0,"Booking Required"
60818846,"0",0,"Booking Required"
60788450,"0",0,"Booking Required"
63400978,"2",0,"Booking Required"
63445660,"2",0,"Booking Required"
63462472,"3",0,"Booking Required"
63487118,"1",0,"Booking Required"
63467351,"2",0,"Booking Required"
61938818,"1",0,"Booking Required"
63541106,"1",0,"Booking Required"
63504381,"1",0,"Booking Required"
62072513,"0",0,"Booking Required"
60967250,"0",0,"Booking Required"
58229150,"3",0,"Booking Required"
63476373,"0",0,"Booking Required"
63574926,"1",0,"Booking Required"
63604471,"1",0,"Booking Required"
63541513,"0",1,"Attended"
59435953,"0",0,"Booking Required"
63602299,"0",0,"Booking Required"
63570678,"1",0,"Booking Required"
63670066,"1",2,"Attended"
63693103,"2",0,"Booking Required"
63235636,"1",1,"Attended"
58930765,"1",0,"Booking Required"
63756993,"1",0,"Booking Required"
63774554,"2",0,"Booking Required"
63724496,"0",0,"Booking Required"
63683498,"3",1,"Attended"
58984011,"3",1,"Attended"
63813382,"3",0,"Booking Required"
60681458,"1",0,"Booking Required"
63878671,"1",0,"Booking Required"
63786214,"3",0,"Booking Required"
63831404,"3",0,"Booking Required"
63911739,"0",0,"Booking Required"
62717154,"2",0,"Booking Required"
63940227,"2",0,"Booking Required"
63969863,"2",0,"Booking Required"
60791845,"2",0,"Booking Required"
60171410,"2",0,"Booking Required"
64017369,"2",0,"Booking Required"
64053692,"2",0,"Booking Required"
64051595,"1",0,"Booking Required"
64058364,"2",0,"Booking Required"
64093332,"2",0,"Booking Required"
60308015,"1",0,"Booking Required"
64087406,"3",0,"Booking Required"
64092174,"2",0,"Booking Required"
64130650,"1",0,"Booking Required"
59276644,"3",0,"Booking Required"
64151764,"1",0,"Booking Required"
63885326,"2",0,"Booking Required"
59167394,"2",0,"Booking Required"
59144253,"1",0,"Booking Required"
64214188,"0",0,"Booking Required"
64190674,"3",0,"Booking Required"
64205800,"3",0,"Booking Required"
63334962,"1",0,"Booking Required"
62970322,"1",0,"Booking Required"
64330119,"0",0,"Booking Required"
64343706,"2",0,"Booking Required"
64354297,"0",0,"Booking Required"
64354441,"2",0,"Booking Required"
64395467,"1",0,"Booking Required"
59007169,"1",0,"Booking Required"
